Var1,Var2
5.79985208298645,-8.92563355814267e-08
5.79966879682973,-8.77293427153109e-08
5.79948551067302,-8.6192550103773e-08
5.7993022245163,-8.46463164205516e-08
5.79911893835959,-8.30909506987571e-08
5.79893565220287,-8.1526807216223e-08
5.79875236604616,-7.99542061332627e-08
5.79856907988944,-7.83733661372314e-08
5.79838579373273,-7.67845020430958e-08
5.79820250757601,-7.51878512062535e-08
5.79801922141929,-7.3583686641183e-08
5.79783593526258,-7.19724132863762e-08
5.79765264910586,-7.0354470204181e-08
5.79746936294915,-6.87301790545866e-08
5.79728607679243,-6.7099849217829e-08
5.79710279063572,-6.54637954698623e-08
5.796919504479,-6.38223001521608e-08
5.79673621832229,-6.21757241633339e-08
5.79655293216557,-6.0524433377555e-08
5.79636964600886,-5.88686950892874e-08
5.79618635985214,-5.72087980603777e-08
5.79600307369543,-5.55450986444335e-08
5.79581978753871,-5.38779893501485e-08
5.795636501382,-5.22079685884274e-08
5.79545321522528,-5.05355671146421e-08
5.79526992906857,-4.88612021128701e-08
5.79508664291185,-4.71852488905618e-08
5.79490335675514,-4.55080463662237e-08
5.79472007059842,-4.38298713672604e-08
5.79453678444171,-4.21510472306062e-08
5.79435349828499,-4.04718707288319e-08
5.79417021212828,-3.87925252545646e-08
5.79398692597156,-3.71131908785842e-08
5.79380363981485,-3.54340768712037e-08
5.79362035365813,-3.37554234844742e-08
5.79343706750142,-3.20775983295332e-08
5.7932537813447,-3.04010136364346e-08
5.79307049518799,-2.87259901416178e-08
5.79288720903127,-2.70528594095328e-08
5.79270392287455,-2.53819860615457e-08
5.79252063671784,-2.37137201452219e-08
5.79233735056112,-2.20484782086082e-08
5.79215406440441,-2.03866814758471e-08
5.79197077824769,-1.8728656631373e-08
5.79178749209098,-1.70747461169092e-08
5.79160420593426,-1.54253714948046e-08
5.79142091977755,-1.37809850859925e-08
5.79123763362083,-1.21421156305625e-08
5.79105434746412,-1.05093247981198e-08
5.7908710613074,-8.88308093813335e-09
5.79068777515069,-7.2638252123975e-09
5.79050448899397,-5.6519981720174e-09
5.79032120283726,-4.04798711057154e-09
5.79013791668054,-2.45217940239064e-09
5.78995463052383,-8.64918936274221e-10
5.78977134436711,7.13573611726411e-10
5.7895880582104,2.28310634062033e-09
5.78940477205368,3.84344832508453e-09
5.78922148589697,5.3943533163301e-09
5.78903819974025,6.93550001803372e-09
5.78885491358354,8.46654581516778e-09
5.78867162742682,9.98726316819386e-09
5.78848834127011,1.14974485919738e-08
5.78830505511339,1.29968826993035e-08
5.78812176895668,1.44853866071603e-08
5.78793848279996,1.59627540609609e-08
5.78775519664325,1.74287968720227e-08
5.78757191048653,1.88834374773791e-08
5.78738862432981,2.03266092455927e-08
5.7872053381731,2.17581942791506e-08
5.78702205201638,2.31780662403265e-08
5.78683876585967,2.45860466846067e-08
5.78665547970295,2.59819472732361e-08
5.78647219354624,2.73656903002246e-08
5.78628890738952,2.87372472260087e-08
5.78610562123281,3.00966167169006e-08
5.78592233507609,3.14438606630149e-08
5.78573904891938,3.27790337775406e-08
5.78555576276266,3.4102228261638e-08
5.78537247660595,3.54136441379735e-08
5.78518919044923,3.67134993809302e-08
5.78500590429252,3.80019837025929e-08
5.7848226181358,3.92792655487357e-08
5.78463933197909,4.05454224641344e-08
5.78445604582237,4.18004930699132e-08
5.78427275966566,4.30445860266055e-08
5.78408947350894,4.42777939580281e-08
5.78390618735223,4.55001617718198e-08
5.78372290119551,4.67117348381456e-08
5.7835396150388,4.7912505835153e-08
5.78335632888208,4.91024549030763e-08
5.78317304272537,5.02816310949554e-08
5.78298975656865,5.14500570157876e-08
5.78280647041194,5.26076557151993e-08
5.78262318425522,5.3754297961931e-08
5.78243989809851,5.48897701271184e-08
5.78225661194179,5.60138094024218e-08
5.78207332578507,5.71262275384177e-08
5.78189003962836,5.82268529841145e-08
5.78170675347164,5.93155045569126e-08
5.78152346731493,6.0392042037026e-08
5.78134018115821,6.14563130328898e-08
5.7811568950015,6.25081999065659e-08
5.78097360884478,6.35477020576388e-08
5.78079032268807,6.45748271829868e-08
5.78060703653135,6.55895057871214e-08
5.78042375037464,6.65916112828668e-08
5.78024046421792,6.75808864217285e-08
5.78005717806121,6.85570088088201e-08
5.77987389190449,6.95197579901045e-08
5.77969060574778,7.04689001178313e-08
5.77950731959106,7.14041357623572e-08
5.77932403343435,7.23251833271833e-08
5.77914074727763,7.32317132550851e-08
5.77895746112092,7.41234085478664e-08
5.7787741749642,7.50000940133208e-08
5.77859088880749,7.58616046192863e-08
5.77840760265077,7.67076828606736e-08
5.77822431649406,7.75380582742993e-08
5.77804103033734,7.83524097014372e-08
5.77785774418063,7.91503938636944e-08
5.77767445802391,7.99317938379142e-08
5.7774911718672,8.06964348887387e-08
5.77730788571048,8.14441277838684e-08
5.77712459955376,8.21747519731851e-08
5.77694131339705,8.28882200595905e-08
5.77675802724033,8.35845034567483e-08
5.77657474108362,8.4263721119885e-08
5.7763914549269,8.49260259077174e-08
5.77620816877019,8.55714902541165e-08
5.77602488261347,8.62001425528624e-08
5.77584159645676,8.68119067577077e-08
5.77565831030004,8.74066318579028e-08
5.77547502414333,8.79842375340995e-08
5.77529173798661,8.85445957688094e-08
5.7751084518299,8.90874521243308e-08
5.77492516567318,8.96125449576892e-08
5.77474187951647,9.01196064839997e-08
5.77455859335975,9.06083972208748e-08
5.77437530720304,9.10788410039446e-08
5.77419202104632,9.15308844262701e-08
5.77400873488961,9.1964314810635e-08
5.77382544873289,9.23788878246301e-08
5.77364216257618,9.27743310968155e-08
