Var1,Var2
3.78007489474646,-2.29254496526907e-05
3.78022617911382,-2.40567691816161e-05
3.78038030146245,-2.51582654985069e-05
3.780505260003,-2.62282481888017e-05
3.78062461279288,-2.72650821146778e-05
3.78077593226618,-2.82670921699346e-05
3.78093001950887,-2.9232651394439e-05
3.78105490783755,-3.01603031914433e-05
3.7811743308393,-3.1048594660854e-05
3.78132568541853,-3.18959622025358e-05
3.78147973755529,-3.27007491739011e-05
3.78160455567211,-3.34610798322928e-05
3.78172404888572,-3.41749802809474e-05
3.78187543857088,-3.48406454156895e-05
3.78202945560171,-3.54562567114746e-05
3.78215420350667,-3.60199120509721e-05
3.78227376693214,-3.65297445479066e-05
3.78242519172323,-3.69837980458343e-05
3.78257917364813,-3.73801330689498e-05
3.78270385134123,-3.77170294632542e-05
3.78282348497856,-3.79927761541791e-05
3.78297494487558,-3.82055262901487e-05
3.78312889169455,-3.83534094586531e-05
3.78325349917578,-3.8434457860307e-05
3.78337320302498,-3.84466750611777e-05
3.78352469802793,-3.83882836418992e-05
3.78367860974097,-3.82575934102178e-05
3.78380314701034,-3.80529317932536e-05
3.7839229210714,-3.77727584138505e-05
3.78407445118028,-3.74155751588067e-05
3.78422832778739,-3.69799925505641e-05
3.7843527948449,-3.64648789846028e-05
3.78447263911782,-3.58691732576282e-05
3.78462420433264,-3.51917304222667e-05
3.78477804583381,-3.44313669970892e-05
3.78490244267946,-3.35867445606826e-05
3.78502235716424,-3.26564461144934e-05
3.78517395748499,-3.16392201740155e-05
3.78532776388023,-3.05337897992029e-05
3.78545209051401,-2.93387471087234e-05
3.78557207521066,-2.80527254072999e-05
3.78572371063734,-2.66743666743278e-05
3.78587748192665,-2.5202395018775e-05
3.78600173834857,-2.36358320597657e-05
3.78612179325708,-2.19737744111515e-05
3.78627346378969,-2.02151402035952e-05
3.78642719997307,-1.83588528981008e-05
3.78655138618313,-1.64038279856147e-05
3.7866715113035,-1.43489518159722e-05
3.78682321694204,-1.21933250305363e-05
3.78697691801949,-9.93610747610483e-06
3.78710103401768,-7.57635070271013e-06
3.78722122934992,-5.11320601999853e-06
3.78737297009439,-2.54595537010015e-06
3.78752663606591,1.26008931580534e-07
3.78765068185224,2.9030346171184e-06
3.78777094739634,5.78536837360261e-06
3.78792272324674,8.77339965682159e-06
3.78807635411233,1.18675409223544e-05
3.7882003296868,1.50682508017654e-05
3.78832066544276,1.83760459135217e-05
3.78847247639909,2.1791278334828e-05
3.78862607215875,2.5314285667638e-05
3.78874997752135,2.89455361159584e-05
3.78887038348918,3.26854288922135e-05
3.78902222955145,3.65342605244571e-05
3.78917579020517,4.04921989100509e-05
3.78929962535591,4.45590904194093e-05
3.7894201015356,4.87346253383726e-05
3.7895719827038,5.30185783202178e-05
3.78972550825159,5.74106186517886e-05
3.78984927319047,6.19102807666142e-05
3.78996981958202,6.65170391535592e-05
3.79012173585615,7.12301499606221e-05
3.79027522629801,7.60487702971214e-05
3.79039892102503,8.09721366653476e-05
3.79051953762844,8.59993577194757e-05
3.7906714890085,9.11292999550019e-05
3.79082494434443,9.63606711170109e-05
3.79094856885958,0.000101691930555027
3.79106925567486,0.000107121398567772
3.79122124216085,0.000112647526878979
3.79137466239085,0.000118268780484944
3.79149821669414,0.000123983612119535
3.79161897372128,0.000129790556646056
3.7917709953132,0.000135688097714789
3.79192438043727,0.000141674795339336
3.7920478645287,0.000147749469591428
3.7921686917677,0.000153910975595348
3.79232074846555,0.000160158056143167
3.79247409848369,0.000166489381240325
3.79259751236326,0.000172903387522356
3.79271840981412,0.000179398445352231
3.79287050161791,0.00018597322357755
3.79302381653011,0.000192626456634208
3.79314716019781,0.00019935686039197
3.79326812786054,0.000206163239800987
3.79342025477026,0.00021304424984087
3.79357353457653,0.000219998528131334
3.79369680803237,0.000227024920257897
3.79381784590696,0.000234122217474568
3.79397000792261,0.000241289050411203
3.79412325262295,0.000248523944521719
3.79424645586693,0.000255825155317094
3.79436756395338,0.000263190868221986
3.79451976107496,0.00027061956911543
3.79467297066937,0.000278109892227392
3.79479610370148,0.000285660645033956
3.7949172819998,0.000293270822899146
3.79506951422731,0.000300939271295423
3.79522268871579,0.000308664913693612
3.79534575153604,0.000316446973501852
3.79546700004622,0.000324284658638427
3.79561926737966,0.000332177099489346
3.79577240676221,0.000340123295384142
3.7958953993706,0.000348121797444636
3.79601671809264,0.000356170978716948
3.79616902053201,0.000364269429711986
3.79632212480863,0.000372415639943996
3.79644504720516,0.000380607943641558
3.79656643613906,0.000388844629644933
3.79671877368436,0.00039712365878947
3.79687184285505,0.000405442856569166
3.79699469503971,0.000413800199653168
3.79711615418548,0.00042219345727865
3.79726852683672,0.000430619997143964
3.79742156090147,0.000439076903159071
3.79754434287427,0.000447560803327221
3.7976658722319,0.000456068094173043
3.79781827998907,0.000464595445734242
3.79797127894789,0.000473139598919898
3.79809399070883,0.000481697354099095
3.79821559027832,0.000490265698535376
3.79836803314142,0.000498841493200122
3.79852099699431,0.000507421754062093
3.79864363854338,0.000516004000325906
3.79876530832474,0.000524585774245667
3.79891778629377,0.000533164353045088
3.79907071504073,0.000541736776089992
3.79919328637794,0.000550299460059456
3.79931502637116,0.000558848573662167
3.79946753944612,0.000567380801468421
3.79962043308715,0.00057589282090136
3.7997429342125,0.000584381124344255
3.79986474441758,0.000592842318458774
3.80001729259847,0.000601272713624392
3.80017015113357,0.000609668637359218
3.80029258204706,0.000618026993851987
3.800414462464,0.000626344661680736
3.80056704575082,0.000634618127973062
3.80071986917999,0.000642843758935711
